Datetime,P_ac
16:45:00,2723
16:40:00,2033
16:35:00,1856
16:30:00,3246
16:25:00,2638
16:20:00,1190
16:15:00,699
16:10:00,1568
16:05:00,3432
16:00:00,4247
15:55:00,2253
15:50:00,1487
15:45:00,1377
15:40:00,1814
15:35:00,1447
15:30:00,3802
15:25:00,4366
15:20:00,3553
15:15:00,1949
15:10:00,1485
15:05:00,1306
15:00:00,2082
14:55:00,3308
14:50:00,3730
14:45:00,1173
14:40:00,1866
14:35:00,1429
14:30:00,1342
14:25:00,2384
14:20:00,1734
14:15:00,4107
14:10:00,4190
14:05:00,2315
14:00:00,4167
13:55:00,3608
13:50:00,4132
13:45:00,3350
13:40:00,4059
13:35:00,4345
13:30:00,3569
13:25:00,3754
13:20:00,3048
13:15:00,4282
13:10:00,3194
13:05:00,4464
13:00:00,4333
12:55:00,4297
12:50:00,3521
12:45:00,4245
12:40:00,4216
12:35:00,4325
12:30:00,4498
12:25:00,4507
12:20:00,3231
12:15:00,3032
12:10:00,4611
12:05:00,2984
12:00:00,4390
11:55:00,2159
11:50:00,3112
11:45:00,4573
11:40:00,3567
11:35:00,2887
11:30:00,1807
11:25:00,1223
11:20:00,1559
11:15:00,2220
11:10:00,3214
11:05:00,3175
11:00:00,1863
10:55:00,1504
10:50:00,1460
10:45:00,3227
10:40:00,3674
10:35:00,1927
10:30:00,2524
10:25:00,3003
10:20:00,1196
10:15:00,3361
10:10:00,3401
10:05:00,3379
10:00:00,3125
09:55:00,881
09:50:00,3149
09:45:00,3105
09:40:00,3095
09:35:00,2412
09:30:00,3041
09:25:00,3040
09:20:00,2894
09:15:00,2948
09:10:00,2941
09:05:00,2090
09:00:00,1440
08:55:00,2725
08:50:00,2594
08:45:00,2576
08:40:00,2480
08:35:00,2399
08:30:00,2286
08:25:00,2150
08:20:00,2073
08:15:00,1787
08:10:00,1239
08:05:00,1254
08:00:00,1257
07:55:00,1358
07:50:00,1487
07:45:00,1555
07:40:00,1472
07:35:00,1389
07:30:00,1232
07:25:00,1214
07:20:00,1135
07:15:00,1048
07:10:00,963
07:05:00,873
07:00:00,791
06:55:00,776
06:50:00,692
06:45:00,618
06:40:00,566
06:35:00,406
06:30:00,421
06:25:00,511
06:20:00,406
06:15:00,266
06:10:00,253
06:05:00,196
06:00:00,138
05:55:00,41
05:50:00,3
05:45:00,0
05:40:00,0
05:35:00,0
05:30:00,0
05:25:00,0
05:20:00,0
05:15:00,0
05:10:00,0
05:05:00,0
05:00:00,0
04:55:00,0
04:50:00,0
04:45:00,0
04:40:00,0
04:35:00,0
04:30:00,0
04:25:00,0
04:20:00,0
04:15:00,0
04:10:00,0
04:05:00,0
04:00:00,0
03:55:00,0
03:50:00,0
03:45:00,0
03:40:00,0
03:35:00,0
03:30:00,0
03:25:00,0
03:20:00,0
03:15:00,0
03:10:00,0
03:05:00,0
03:00:00,0
02:55:00,0
02:50:00,0
02:45:00,0
02:40:00,0
02:35:00,0
02:30:00,0
02:25:00,0
02:20:00,0
02:15:00,0
02:10:00,0
02:05:00,0
02:00:00,0
01:55:00,0
01:50:00,0
01:45:00,0
01:40:00,0
01:35:00,0
01:30:00,0
01:25:00,0
01:20:00,0
01:15:00,0
01:10:00,0
01:05:00,0
01:00:00,0
00:55:00,0
00:50:00,0
00:45:00,0
00:40:00,0
00:35:00,0
00:30:00,0
00:25:00,0
00:20:00,0
00:15:00,0
00:10:00,0
00:05:00,0
00:00:00,0
